hydroložka;Q3644587
hygienička;Q651566
hygienik;Q651566
chemička;Q593644
chemigraf;Q18243284
chemik;Q593644
chirurg;Q774306
chiruržka;Q774306
choreograf;Q2490358
choreografka;Q2490358
ichtyolog;Q4205432
ichtyoložka;Q4205432
ikonopisec;Q4199058
iluminátor;Q998628
iluminátorka;Q998628
ilustrátor;Q644687
ilustrátorka;Q644687
iluzionista;Q1658894
imitátor;Q1148872
impresário;Q943995
imunolog;Q12119633
imunoložka;Q12119633
indoevropeista;Q16267985
indolog;Q18524037
indoložka;Q18524037
infektolog;Q11494960
infektoložka;Q11494960
influencer;Q2906862
influencerka;Q2906862
informatička;Q82594
informatik;Q82594
informator;Q3106887
inkvizitor;Q1664338
inovátor;Q3492227
inspector;Q27214348
inspektorka;Q27214348
instalatér;Q252924
instalatérka;Q252924
instrumentalista;Q1278335
instrumentalistka;Q1278335
intelektuál;Q58968
intelektuálka;Q58968
intendant;Q6491450
intendantka;Q6491450
interlingvista;Q15976715
internista;Q15924224
internistka;Q15924224
iránista;Q16832248
islamolog;Q3155377
islamoložka;Q3155377
jáhen;Q161944
jachtař;Q476246
jachtařka;Q476246
japanning;Q17146917
japanolog;Q15991218
japanoložka;Q15991218
jazykovědec;Q14467526
jazykovědkyně;Q14467526
jerodiákon;Q7198392
jeromonach;Q1288557
jeřábnice;Q2561741
jeřábník;Q2561741
jezdec;Q2730732
jezdkyně;Q2730732
jezuita;Q63173086
jirchář;Q1326835
jódler;Q21234378
jódlerka;Q21234378
judaista;Q5121550
judaistka;Q5121550
judista;Q6665249
kabaretiér;Q15214752
kabaretiérka;Q15214752
kadeřnice;Q55187
kadeřník;Q55187
kaligraf;Q3303330
kaligrafka;Q3303330
kamelot;Q21015872
kamenice;Q328325
kameník;Q328325
kameraman;Q222344
kameramanka;Q222344
kamnář;Q94072237
kamnářka;Q94072237
kanoista;Q13382566
kanoistka;Q13382566
kanonista;Q12027957
kanovník;Q1104153
kapelnice;Q806349
kapelník;Q806349
kapo;Q702997
karatista;Q9017214
karatistka;Q9017214
karcinolog;Q16868721
karcinoložka;Q16868721
kardinál;Q45722
kardiochirurg;Q19842026
kardiolog;Q3264451
kardioložka;Q3264451
karikaturista;Q3658608
karikaturistka;Q3658608
karsolog;Q71051608
karsoložka;Q71051608
kartograf;Q1734662
kartografka;Q1734662
kaskadér;Q465501
kaskadérka;Q465501
kastelán;Q54086385
kastelánka;Q54086385
kastelolog;Q26224000
kasteloložka;Q26224000
katalogizátor;Q33109310
kazatel;Q432386
kazatel;Q152002
kazatelka;Q432386
keramička;Q7541856
kickboxer;Q11296761
kinantropolog;Q71051767
kinantropoložka;Q71051767
kineziolog;Q16521237
kinezioložka;Q16521237
kladivář;Q13856320
kladivářka;Q13856320
klarinetista;Q118865
klarinetistka;Q118865
klávesista;Q1075651
klávesistka;Q1075651
klavírista;Q486748
