_id,151a
ge117605,Viktoriiny vodopády (Zambie a Zimbabwe)
ge117606,Kozmin (Polsko)
ge117609,Chile jižní
ge117613,"Oka (Volha, Rusko : řeka)"
ge117635,Jenisej (Rusko : řeka)
ge117638,Angara (Rusko : řeka)
ge117639,"Oka (Angara, Rusko : řeka)"
ge117644,Solothurn (Švýcarsko : kanton)
ge117667,"Karlův most (Praha, Česko)"
ge117701,Žitavské hory (Německo)
ge117717,Chráněná krajinná oblast Žitavské hory (Německo)
ge117718,"Nová Ves (Mělník, Česko)"
ge117748,Martinice v Krkonoších (Česko)
ge117753,Guanajuato (Mexiko : stát)
ge117755,Gandhara (Pákistán : kraj)
ge117758,"Přírodní památka Na Plachtě (Hradec Králové, Česko)"
ge117761,"Na Plachtě (Hradec Králové, Česko : naučná stezka)"
ge117762,Chvojnice (Česko : řeka)
ge117766,"Kozmice (Opava, Česko)"
ge117768,Kozlovský kopec (Česko)
ge117777,Manipur (Indie a Barma : řeka)
ge117780,Udine (Itálie)
ge117783,"Liščí (Chudenín, Česko)"
ge117818,Krasnojarsk (Rusko)
ge117820,Krimpenerwaard (Nizozemsko)
ge117821,Kropáčova Vrutice (Česko : oblast)
ge117836,Kérala (Indie)
ge117837,Colima (Mexiko : stát)
ge117886,Nevado de Colima (Mexiko : hora)
ge117888,Lhasa (Čína)
ge117889,Letohrad (Česko : oblast)
ge117897,Landeck (Rakousko)
ge117925,Landeck (Rakousko : oblast)
ge117929,Ledeč nad Sázavou (Česko : oblast)
ge117932,Libějovice (Česko : oblast)
ge117934,"Libáň (Jičín, Česko : oblast)"
ge117947,Libníč (Česko)
ge117948,Lomnice nad Lužnicí (Česko : oblast)
ge117949,Libňatov (Česko)
ge117956,Lomnice nad Lužnicí (Česko)
ge117965,Lippstadt (Německo)
ge117966,Krosno (Polsko : oblast)
ge117982,Krásensko (Česko)
ge117983,Bílovka (Česko : řeka)
ge117999,Bílovka (Česko : řeka : povodí)
ge118000,Demänovská jaskyňa slobody (Slovensko)
ge118008,Demänovská ľadová jaskyňa (Slovensko)
ge118011,Praha (Česko)
ge118014,Kolyma (Rusko : řeka)
ge118018,"Pivečkův lesopark (Slavičín, Česko)"
ge118027,Písecké hory (Česko)
ge118035,South Nahanni (Kanada : řeka)
ge118036,Kanada severozápadní
ge118054,Stubaiské Alpy (Itálie a Rakousko : pohoří)
ge118071,"Feldberg (Meklenbursko-Přední Pomořansko, Německo)"
ge118075,Fitzroy Crossing (Západní Austrálie)
ge118076,Valašské Klobouky (Česko : oblast)
ge118084,Přírodní rezervace Dukovanský mlýn (Česko)
ge118113,Přírodní park Kančí obora (Česko)
ge118114,Bílé moře
ge118122,Přírodní park Ještěd (Česko)
ge118134,Sachalin (Rusko : ostrov)
ge118136,Severní Alpy vápencové (pohoří)
ge118139,Samojské ostrovy (Polynésie : souostroví)
ge118142,Sankt Goar (Německo)
ge118155,Siret (Ukrajina a Rumunsko : řeka)
ge118159,Lázně Kynžvart (Česko : oblast)
ge118160,Siva (Egypt)
ge118164,Prokletije (pohoří)
ge118171,"Grbaja (Prokletije, Černá Hora : údolí)"
ge118174,Turov (Bělorusko : oblast)
ge118175,Bledské jezero (Slovinsko)
ge118184,Závist (Česko : archeologická lokalita)
ge118215,Dolní Břežany (Česko)
ge118271,"Hrazany (Radíč, Příbram, Česko)"
ge118279,"Stradonice (Nižbor, Česko)"
ge118288,Tennessee
ge118309,Nashville (Tennessee)
ge118315,Dzjatlava (Bělorusko)
ge118325,Dzjatlava (Bělorusko : oblast)
ge118355,<<Das>> Naturschutzgebiet Listhof (Německo)
ge118356,Reutlingen (Německo : oblast)
ge118364,Reutlingen (Německo)
ge118385,Willow Creek Region (Montana)
ge118388,Rumunsko severní
ge118389,Chřiby (Česko : pohoří : oblast)
ge118390,D1 (Česko : dálnice)
ge118398,Rudoltice-Lanškroun (Česko : železniční trať)
ge118409,Predeal (Rumunsko)
ge118412,Hvar (Chorvatsko : ostrov)
ge118423,Waltershausen (Německo)
ge118431,anglicky mluvící země
ge118446,Černilov (Česko)
ge118448,Hunan (Čína : provincie)
ge118451,"Čakov (České Budějovice, Česko)"
ge118456,"Čakov (Benešov, Česko)"
ge118457,Nebraska
ge118461,Głubczyce (Polsko)
ge118492,Severní Irsko
ge118497,Plzeň 7-Radčice (Česko)
ge118501,Blšany (Česko)
ge118509,Blšany u Loun (Česko)
ge118511,"Dublin (Mahoning, Ohio)"
ge124250,Bahrajn
ge125947,Skandinávský poloostrov
ge126996,"Medlovice (Uherské Hradiště, Česko)"
ge127927,Dobrovice-Dětenice (Česko : zaniklá železniční trať)
ge127928,Dolní Lipová-Bernartice (Česko : železniční trať)
ge127947,Čerčany-Světlá nad Sázavou (Česko : železniční trať)
ge127949,Číčenice-Týn nad Vltavou (Česko : železniční trať)
ge128065,Česko
ge128378,"<<el>> Campo de San Francisco (Oviedo, Španělsko)"
ge128379,Alpy (pohoří)
ge128380,Alpy francouzské (pohoří)
ge128381,Alpy italské (pohoří)
ge128382,Antarktický oceán
ge128383,Antarktida
ge128384,Akvitánie (Francie)
ge128385,Aragonie (Španělsko)
ge128386,Arktida
ge128389,Atlantský oceán
ge128390,Azory (Portugalsko : souostroví)
ge128391,Azurové pobřeží (Francie)
ge128392,Bad Doberan (Německo)
ge128393,Bavorský les (Německo : pohoří)
ge128394,Benelux
ge128395,Berounka (Česko : řeka : oblast)
ge128396,Pobeskydí (Česko)
ge128397,Biosférická rezervace Bílé Karpaty (Česko a Slovensko)
ge128399,Biosférická rezervace Třeboňsko (Česko)
ge128400,Dunkerque (Francie)
ge128403,Biosférická rezervace Krkonoše/Karkonosze (Česko a Polsko)
ge128404,Biosférická rezervace Křivoklátsko (Česko)
ge128405,Biosférická rezervace Pálava (Česko)
ge128406,Biosférická rezervace Šumava (Česko)
ge128408,Park Narodowy Ujście Warty (Polsko)
ge128409,"Blanice (Otava, Česko : řeka)"
