_id,151a
ge549162,Jeskyně Na Turoldu (Česko)
ge549181,Olomouc-Krnov-Opava (Česko : železniční trať)
ge549182,Třemešná-Osoblaha (Česko : železniční trať)
ge549240,Západní poušť (Egypt)
ge549241,Libyjská poušť
ge549310,"Křenov (Svitavy, Česko)"
ge549312,Naučná stezka Po stopách K. V. Raise (Česko)
ge549317,"Německo (sovětská okupační zóna, 1945-1955)"
ge549326,La Torre del Valle (Španělsko)
ge549919,"Höchst (Frankfurt nad Mohanem, Německo)"
ge549927,Fehmarn (Německo : ostrov)
ge549944,Hessisch Oldendorf (Německo)
ge549945,Honnecourt-sur-l'Escaut (Francie)
ge549949,Jüterbog (Německo)
ge549952,Kirtorf (Německo)
ge549954,Lutter am Barenberge (Německo)
ge549956,Rain (Německo)
ge549960,"Maxen (Müglitztal, Německo)"
ge549961,Rocroi (Francie)
ge549963,Stadtlohn (Německo)
ge549964,Sztum (Polsko)
ge550173,Tuttlingen (Německo)
ge550177,Valle (Lotyšsko)
ge550178,Wiesloch (Německo)
ge550185,Wolgast (Německo)
ge550186,Zusmarshausen (Německo)
ge550190,"Bílá Hora (Praha, Česko)"
ge550191,Lützen (Německo)
ge550192,Wittstock (Německo)
ge550193,Auray (Francie)
ge550194,Calais (Francie)
ge550235,Formigny (Francie)
ge550236,Burkatów (Polsko)
ge550240,Ticonderoga (New York)
ge550246,"Hastenbeck (Hameln, Německo)"
ge550247,Hameln (Německo)
ge550250,Kunowice (Polsko)
ge550256,Kamienna Góra (Polsko)
ge550257,Lutynia (Polsko)
ge550260,Rossbach (Německo)
ge550261,Palásí (Indie)
ge550262,Harfleur (Francie)
ge550263,Jargeau (Francie)
ge550332,"Habrmannova ulice (Plzeň, Česko)"
ge550333,Naučná stezka Ludvíka Očenáška (Česko)
ge550352,Azincourt (Francie)
ge550353,Baugé (Francie)
ge550355,Castillon-la-Bataille (Francie)
ge550357,"Cravant (Yonne, Francie)"
ge550358,La Rochelle (Francie)
ge550359,Patay (Francie)
ge550364,Rouvray-Sainte-Croix (Francie)
ge550368,Sluys (Nizozemsko)
ge550378,Verneuil-sur-Avre (Francie)
ge550392,"Sarbinowo (Myślibórz, Polsko)"
ge550401,Kielský záliv (Německo)
ge550502,Quiberon (Francie : záliv)
ge550509,"Mariánská studánka (Rychnov na Moravě, Česko)"
ge550591,Viareggio (Itálie)
ge550592,"Hartmanice (Svitavy, Česko)"
ge550593,Nemojany (Česko)
ge550594,"Domašov (Brno-venkov, Česko)"
ge550595,Sentice (Česko)
ge550680,La Coruña (Španělsko)
ge550836,Müllendorf (Rakousko)
ge550837,Oggau (Rakousko)
ge550844,Baktrie
ge550912,Bückeburg (Německo)
ge550913,Stadthagen (Německo)
ge550914,Rovensko pod Troskami (Česko : oblast)
ge550936,Serdobsk (Rusko)
ge550937,Serdobsk (Rusko : oblast)
ge550939,Goli otok (Chorvatsko)
ge550962,"Neblina (Guyanská vysočina, Brazílie a Venezuela : hora)"
ge550963,Jívka (Česko : oblast)
ge550973,Šen-čen (Čína)
ge550999,ašantská říše
ge551054,"Stvolny (Manětín, Česko)"
ge551055,Naučná stezka Den bitvy u Trutnova - rakouské vítězství 27.6. 1866 (Česko)
ge551056,"Špitálský les (Plzeň, Česko)"
ge551182,Kao-hsiung (Tchaj-wan)
ge551251,"Horní Litvínov (Litvínov, Česko)"
ge551252,Serpuchov (Rusko : oblast)
ge551254,Obolensk (Rusko : oblast)
ge551256,Horodenka (Ukrajina)
ge551257,Ružomberok (Slovensko : oblast)
ge551315,Pallanza (Itálie)
ge551316,Nuoro (Itálie)
ge551317,Treviso (Itálie)
ge551446,Serpuchov (Rusko)
ge551448,Obolensk (Rusko)
ge551479,Guinejský záliv
ge551484,"Mesto Františka Jozefa (Bratislava, Slovensko)"
ge551670,Skrapež (Srbsko : řeka)
ge551789,Malaita (Šalamounovy ostrovy : ostrov)
ge551895,Sklenářovice (Česko : zaniklá obec)
ge551896,Stav (Česko : přírodní památka)
ge552023,Geopark Český ráj (Česko)
ge552085,"Smrčina (Šumava, Česko a Rakousko : hora)"
ge552254,Koralpe (Rakousko : pohoří)
ge552255,Lavanttalské Alpy (Rakousko a Slovinsko : pohoří)
ge552256,Saualpe (Rakousko : pohoří)
ge552259,Brennerský průsmyk (Itálie a Rakousko)
ge552261,Samnaun (Rakousko a Švýcarsko : pohoří)
ge552262,Nauders (Rakousko)
ge552263,Nauders (Rakousko : oblast)
ge552278,Niagara Falls (New York)
ge552310,"Ringstrasse (Vídeň, Rakousko)"
ge552337,Weitersfeld (Rakousko)
ge552407,Oplot (Česko : oblast)
ge552427,Almaty (Kazachstán : oblast)
ge552468,Mugello (Itálie)
ge552483,"Konstantinovo (Rjazaň, Rusko)"
ge552522,Hornoměstský rudný revír (Česko)
ge552570,"Zahradní ulice (Plzeň, Česko)"
ge552571,"Habrová ulice (Plzeň, Česko)"
ge552576,"Veská (Sezemice, Pardubice, Česko)"
ge552578,Oravský Podzámok (Slovensko)
ge552592,"Měřín (Rabyně, Česko)"
ge552744,Libuňka (Česko : potok)
ge552745,Libuňka (Česko : potok : oblast)
ge552746,Stebenka (Česko : potok : oblast)
ge552747,Stebenka (Česko : potok)
ge552751,Vyšné Ružbachy (Slovensko)
ge552819,Rovca (Černá Hora)
ge552851,Borecké skály (Česko : přírodní památka)
ge552872,Národní park Yushan (Tchaj-wan)
ge552897,"Naučná stezka Nové Dvory-Babí (Trutnov, Česko)"
ge553036,"Borek (Hrubá Skála, Česko)"
ge553040,"Borek (Hrubá Skála, Česko : oblast)"
xx0109104,Nové Sedlo nad Bílinou (Česko : zaniklá obec)
ge553104,Samaški (Rusko)
ge553112,Mykolajìv (Ukrajina : oblast)
ge553113,Vìnnycja (Ukrajina : oblast)
ge553155,Velatice (Česko)
ge553156,"Havaj (Havajské ostrovy, Spojené státy americké : ostrov)"
ge553197,Vìnnycja (Ukrajina)
ge553202,Mykolajìv (Ukrajina)
ge553249,Damašek (Sýrie)
ge553395,Sélestat (Francie)
ge553519,Tekov (Slovensko)
ge553566,"Albertov (Praha, Česko)"
ge553584,Polické stěny (Česko : národní přírodní památka)
ge553585,Broumovské stěny (Česko : národní přírodní rezervace)
ge553586,"Jedlina (Synkov-Slemeno, Česko)"
ge553653,"Oldřetice (Raná, Chrudim, Česko)"
ge553654,"Lelekovice (Brno-venkov, Česko : oblast)"
ge553657,"Babí lom (Drahanská vrchovina, Česko : hora)"
ge553824,Zruč nad Sázavou (Česko : oblast)
ge553827,"Zastávka (Brno-venkov, Česko : oblast)"
ge553828,Veverská Bítýška (Česko : oblast)
ge553842,Andělské Žleby (Česko : zaniklá obec)
ge553844,Tábor (Česko : východní oblast)
ge553846,Tatobity (Česko : oblast)
ge553850,"Staré Město (Uherské Hradiště, Česko : oblast)"
ge553851,"Rejhotice (Loučná nad Desnou, Česko)"
ge553852,Postupice (Česko)
ge553855,Plzeň (Česko : jihovýchodní oblast)
ge553876,Heisterbach (Německo)
ge553951,"Roudnice (Jestřabí v Krkonoších, Česko)"
ge554019,Asuka-mura (Japonsko)
ge554020,Asuka-mura (Japonsko : oblast)
ge554044,"Náměstí Republiky (Praha, Česko)"
ge554084,"Vítkov (Sokolov, Česko)"
ge554089,"Botanická (Brno, Česko)"
ge554186,"Rýchory (Krkonoše, Česko : pohoří)"
ge554187,Rýchory (Česko : naučná stezka)
ge554692,Blackpool (Anglie)
ge554707,Toropec (Rusko)
ge554708,Toropec (Rusko : oblast)
ge554714,Filippy (Řecko)
ge554725,Sárrétudvari (Maďarsko)
ge554735,Chiquitos (Bolívie : provincie)
ge554794,Přeskače (Česko)
ge554818,"Dobřejovice (Praha-východ, Česko)"
xx0109861,"Popovičky (Huntířov, Děčín, Česko : zaniklá obec)"
ge554927,Bobrůvka (Česko)
ge555129,Ludmírovská vrchovina (Česko)
ge555130,"Parduska (Ludmírovská vrchovina, Česko : hora)"
ge555131,"Rampach (Ludmírovská vrchovina, Česko : hora)"
ge555143,"Makarov (Pracejovice, Česko)"
ge555245,Východolabská tabule (Česko)
ge555248,Doutnáč (Česko)
ge556061,Abuja (Nigérie)
ge556062,Abuja (Nigérie : oblast)
ge556356,Botoşani (Rumunsko)
xx0110264,"Rožany (Šluknov, Česko)"
xx0110266,"Světlík (Horní Podluží, Česko)"
xx0110268,"Mstišov (Dubí, Teplice, Česko)"
xx0110275,Bitozeves (Česko)
xx0110277,"Nehasice (Bitozeves, Česko)"
ge556499,"Spyta (Česká Skalice, Česko)"
ge556500,"Rokytník (Hronov, Česko)"
ge556501,"Kamenice (Dobré, Česko)"
ge556502,"Dolní Nová Ves (Lázně Bělohrad, Česko)"
ge556503,"Rožmitál (Broumov, Náchod, Česko)"
ge556504,"Riegrovo náměstí (Hradec Králové, Česko)"
ge556588,Saint-Briac sur Mer (Francie)
xx0110352,Rašovické skály (Česko : přírodní památka)
ge556683,Cooperstown (New York)
ge556684,"Dolní Bušínov (Zábřeh, Šumperk, Česko)"
ge556710,Vologda (Rusko)
ge556843,Mionší (Česko : naučná stezka)
ge556844,Těrlické mokřady (Česko : naučná stezka)
ge556845,Těrlicko (Česko : oblast)
ge556869,Boston Spa (Anglie)
ge557003,Kladská Bystřice (Polsko)
ge557004,Juan-les-Pins (Francie)
ge557005,Mafra (Portugalsko)
ge557006,Parsippany (New Jersey)
ge557032,Takasaki (Japonsko)
ge557033,Poniatowa (Polsko)
ge557034,Rosenheim (Německo)
ge557045,"Kovářská ulice (Plzeň, Česko)"
ge557053,Naučná stezka Berghaus (Česko)
ge557808,"Plhov (Náchod, Česko)"
ge557809,Jankov (Česko : zaniklá obec)
ge557810,"Bukovice (Brno-venkov, Česko)"
xx0110683,"Studánka (Varnsdorf, Česko)"
ge557876,"Pavlov (Břeclav, Česko : oblast)"
ge558088,Lasów (Polsko)
ge558099,Zawidów (Polsko)
ge558498,Mátra (Maďarsko : pohoří)
ge558504,"Lovětín (Jarošov nad Nežárkou, Česko)"
ge558638,Dalj (Chorvatsko)
ge558777,"Vančurova ulice (Klatovy, Česko)"
ge558778,"Balbínova ulice (Klatovy, Česko)"
ge558780,"Randova ulice (Klatovy, Česko)"
ge558781,"Nedaničky (Měčín, Česko)"
ge558788,Teuschnitz (Německo)
ge558789,Teuschnitz (Německo : oblast)
ge558875,Kirillov (Rusko)
ge558881,Turinsk (Rusko)
ge558884,"Hlinné (Tisová, Tachov, Česko)"
ge558888,Blanský les (Česko : pohoří : oblast)
ge558927,Pag (Chorvatsko : ostrov)
ge558977,Börzsöny (Maďarsko : pohoří)
ge559028,Herzogenburg (Rakousko)
ge559034,"Dětkovice (Vyškov, Česko)"
ge559045,Arunáčalpradéš (Indie)
ge559057,Harmanec (Slovensko)
ge559085,Aalst (Belgie)
ge559091,"Friedberg (Bavorsko, Německo)"
ge559092,"Friedberg (Hesensko, Německo)"
ge559165,Florennes (Belgie)
ge559187,Naučná stezka Kožlany (Česko)
ge559188,"Starý Smolivec (Mladý Smolivec, Česko)"
ge559190,"Most Milénia (Plzeň, Česko)"
ge559196,"Juliovka (Krompach, Česko)"
ge559201,"Zaječice (Pyšely, Česko)"
ge559205,"Kovářovice (Pyšely, Česko)"
ge559241,Mojkovac (Černá Hora)
ge559245,Cuautinchán (Mexiko)
ge559286,Severní mys (Norsko)
ge559287,Nemira (Rumunsko : pohoří)
ge559316,Toplica (Srbsko : okres)
ge559379,Henan (Čína : provincie)
ge559381,Ierapetra (Řecko)
ge559382,Barbagia (Itálie)
ge559383,Velké Přílepy (Česko)
ge559448,Polonezköy (Turecko)
ge559469,Aleksandrov (Rusko)
ge559478,Angarsk (Rusko)
ge559480,Azov (Rusko)
ge559483,Babina Greda (Chorvatsko)
ge559484,"Bohuslavice (Opava, Česko)"
ge559487,Banija (Chorvatsko)
ge559488,Arda (řeka)
ge559558,Yap (Mikronésie)
ge559580,Flossenbürg (Německo)
ge559657,Transsibiřská magistrála (Rusko : železniční trať)
ge559660,Baranowicze (Bělorusko : oblast)
ge559662,Belozersk (Rusko : oblast)
ge559667,Brzozów (Polsko)
ge559670,Belz (Ukrajina : oblast)
ge559671,Ypern (Belgie)
ge559803,West Florida
ge559963,Chattahoochee (řeka)
ge559964,Chattahoochee (řeka : oblast)
ge559974,Belz (Ukrajina)
ge560103,"Smetanovy sady (Litovel, Česko)"
ge560104,"Park Míru (Litovel, Česko)"
ge560107,Skadarské jezero (Albánie a Černá Hora : oblast)
ge560120,Naučná stezka Historie a příroda Litovle a okolí (Česko)
ge560134,Weissenfels (Německo)
ge560204,Glendale (Kalifornie)
ge560205,"Sušická ulice (Plzeň, Česko)"
ge560206,Dunajská Lužná (Slovensko)
ge560207,Holoubkov (Česko : oblast)
ge560212,Vydřiduch (Česko : vrch)
ge560217,"Radeč (Brdy, Česko : hora)"
ge560221,"Bílá skála (Brdy, Česko : hora)"
ge560231,"Mánesova ulice (Plzeň, Česko)"
ge560236,West Midlands (Anglie)
ge560237,Přírodní park Radeč (Česko)
ge560245,Bolševo (Rusko)
ge560249,"Butovo (Moskva, Rusko)"
ge560250,"Možděnice (Vysočina, Chrudim, Česko)"
ge560253,Charkov (Ukrajina : oblast)
ge560257,Doslovče (Slovinsko)
ge560258,Drávská dolina (Slovinsko)
ge560259,Drnava (Slovensko)
ge560280,"Lipovník (Rožňava, Slovensko)"
ge560283,Drohobyč (Ukrajina)
ge560284,Drohobyč (Ukrajina : oblast)
ge560285,Dzjarèčyn (Bělorusko)
ge560322,Slovensko Porabje (Maďarsko a Rakousko)
ge560332,Klavary - Doleháj (Česko : významný krajinný prvek)
ge560339,Malesija (Černá Hora)
ge560417,Dolní Loučky (Česko)
ge560418,Skierniewice (Polsko)
ge560419,Retezat (Rumunsko : pohoří)
xx0111761,"Lestkov (Klášterec nad Ohří, Česko)"
ge560463,"Slovanská ulice (Plzeň, Česko)"
ge560464,"Modřínová ulice (Plzeň, Česko)"
xx0111762,Meerane (Německo)
xx0111764,Přírodní památka Žatec (Česko)
ge560468,Kufstein (Rakousko : oblast)
ge560469,Walchsee (Rakousko)
ge560470,Walchsee (Rakousko : oblast)
ge560471,St. Johann in Tirol (Rakousko : oblast)
ge560485,Salzburger Seengebiet (Rakousko)
ge560495,"Lipovník (Topoľčany, Slovensko)"
ge560499,Agliate (Itálie)
ge560624,Dehrádún (Indie)
ge560694,Addis Abeba (Etiopie)
ge560794,Karáčí (Pákistán)
ge560817,"Kamenice (Nežárka, Česko : řeka)"
ge560818,"Kamenice (Nežárka, Česko : řeka : oblast)"
ge560819,"Husův park (Plzeň, Česko)"
ge560907,Spencer (Iowa)
ge560955,Pomezná (Česko : zaniklá obec)
ge561083,Potštejn (Česko : oblast)
ge561088,Beringův průliv
ge561262,"Štěpánovice (Výčapy, Třebíč, Česko)"
ge561264,"Rapperswil (Rapperswill-Jona, Švýcarsko)"
ge561326,Dědina (Česko : řeka)
ge561327,Volterra (Itálie)
ge561408,Bosanska Krajina (Bosna a Hercegovina)
ge561488,"Zahorčičky (Hradiště, Plzeň-jih, Česko)"
ge561497,"Krásné (Žďár nad Sázavou, Česko)"
ge561498,Spělkov (Česko)
ge561499,Žitava (Německo : oblast)
ge561506,Dzūkija (Litva)
ge561507,Suvalkija (Litva)
ge561515,Běžin Luh (Rusko)
ge561545,Maleševo (Makedonie)
xx0112365,Nová Sídla (Česko)
ge561582,Mariovo (Makedonie)
ge561625,"Končiny 1. díl (Sloupnice, Česko)"
ge561626,"Končiny 2. díl (Sloupnice, Česko)"
ge561627,"Končiny (Sloupnice, Česko)"
ge561673,Přírodní rezervace Křemešník (Česko)
ge561674,Křemešník (Česko : naučná stezka)
ge561715,Naučná stezka Děvín (Česko)
ge561723,Přírodní rezervace Pacova hora (Česko)
ge561805,"Jeřmaň (Bouzov, Česko)"
ge561881,"Horná Lehota (Dolný Kubín, Slovensko)"
ge561882,Vítkokamenská hornatina (Česko)
ge561919,"Horná Lehota (Brezno, Slovensko)"
ge561926,Traunstein (Německo)
ge561927,Traunstein (Německo : okres)
ge561928,"Černín (Zdice, Česko)"
ge561930,"Knížkovice (Zdice, Česko)"
xx0112534,"Benátky (Svitavy, Česko)"
ge561938,Povolžské Bulharsko
ge561956,"Měrkovice (Kozlovice, Frýdek-Místek, Česko)"
ge562017,Târgu Mureş (Rumunsko)
ge562025,Belgorod (Rusko)
ge562275,Uh (Ukrajina a Slovensko : řeka)
ge562276,Laborec (Slovensko : řeka)
ge562277,Latorica (Ukrajina a Slovensko : řeka)
ge562278,Opavice (Česko : řeka)
ge562279,Hornád (Slovensko a Maďarsko : řeka)
ge562280,Obišovce (Slovensko)
ge562388,"Anenský vrch (Orlické hory, Česko)"
ge562443,"Hodonice (Znojmo, Česko)"
xx0112879,"Trstěnice (Svitavy, Česko)"
xx0112881,Vidlatá Seč (Česko)
xx0112884,"Střítež (Polička, Česko)"
xx0112885,"Lezník (Polička, Česko)"
xx0112887,"Zhoř (Němčice, Svitavy, Česko)"
xx0112888,"Pazucha (Litomyšl, Česko)"
xx0112889,"Lažany (Morašice, Svitavy, Česko)"
xx0112891,"Bohuňovice (Svitavy, Česko)"
xx0112892,"Makov (Svitavy, Česko)"
xx0112893,"Kunice (Praha-východ, Česko)"
xx0112895,Řídký (Česko)
ge562690,Gibraltar
ge562705,Mimoň (Česko : oblast)
ge562722,"Borek (Horka I., Česko)"
ge562723,"Svobodná Ves (Horka I., Česko)"
ge562724,"Turovka (Horní Cerekev, Česko)"
ge562725,"Chrástov (Horní Cerekev, Česko)"
ge562726,"Hříběcí (Horní Cerekev, Česko)"
ge562727,"Vyšínek (Zlonice, Česko)"
ge562728,"Lisovice (Zlonice, Česko)"
ge562729,"Břešťany (Zlonice, Česko)"
ge562730,"Tmáň (Zlonice, Česko)"
ge562733,Skřipel (Česko)
ge562734,Janovice v Podještědí (Česko)
ge562736,"Veliká (Kravaře, Česko)"
ge562737,"Sezímky (Kravaře, Česko)"
ge562738,"Rané (Kravaře, Česko)"
ge562744,"Čenkov (Třešť, Česko)"
ge562878,Podhájska (Slovensko)
ge562879,Podhájska (Slovensko : oblast)
ge562883,Zlaté Moravce (Slovensko : oblast)
xx0113166,Landshut (Německo)
ge563106,Širočina (Slovensko : řeka)
ge563107,Širočina (Slovensko : řeka : oblast)
ge563108,Žitava (Slovensko : řeka : oblast)
ge563109,Žitava (Slovensko : řeka)
ge563293,"Benátky (Pelhřimov, Česko)"
ge563368,Jessentuki (Rusko)
ge563373,Gabrovo (Bulharsko)
ge563375,Gliwice (Polsko : oblast)
ge563386,Gniezno (Polsko : oblast)
ge563442,Piła (Polsko)
ge563444,Grybów (Polsko)
ge563456,Tichý oceán (západní oblast)
ge563460,"Křivenice (Horní Počaply, Česko)"
ge563467,Hlusk (Bělorusko)
ge563468,Hlusk (Bělorusko : oblast)
ge563469,Hlybokaje (Bělorusko)
ge563470,Hlybokaje (Bělorusko : oblast)
ge563476,Bolimov (Polsko : oblast)
ge563483,Homel (Bělorusko : oblast)
ge563549,Hrastovec (Slovinsko)
ge563551,Ilok (Chorvatsko)
ge563559,Vazovo (Bulharsko)
ge563561,Rajnino (Bulharsko)
ge563575,Ivanava (Bělorusko)
ge563576,Ivanava (Bělorusko : oblast)
ge563578,Ivangorod (Rusko)
ge563579,Izborsk (Rusko : oblast)
ge563581,Iževsk (Rusko)
ge563584,Jajce (Bosna a Hercegovina)
ge563585,Janowiec (Polsko)
ge563587,Jel‘sk (Bělorusko)
ge563588,Jel‘sk (Bělorusko : oblast)
ge563599,Maella (Španělsko)
ge563603,Gornji Grad (Slovinsko)
ge563604,"Grintovec (Savinjské Alpy, Slovinsko : hora)"
ge563605,Galič (Rusko)
ge563606,Gnojnik (Polsko)
ge563608,Gusinje (Černá Hora)
ge563611,Plav (Černá Hora)
ge563612,Irig (Srbsko)
ge563671,"Dolní Lomnice (Kunice, Praha-východ, Česko)"
ge563672,"Horní Lomnice (Kunice, Praha-východ, Česko)"
ge563681,Leinsweiler (Německo)
ge563715,Žďákovský most (Česko)
ge563716,"Ďumbier (Nízké Tatry, Slovensko : hora)"
ge563740,Národní park Bělověžský prales (Bělorusko)
xx0113488,"Hradiště (Znojmo, Česko)"
ge563953,"Madurodam (Haag, Nizozemsko)"
ge563957,Drogičin (Bělorusko)
ge563958,Drogičin (Bělorusko : oblast)
ge563963,Malorita (Bělorusko : oblast)
ge563964,Malorita (Bělorusko)
xx0113562,"Vlkov (Spálené Poříčí, Česko)"
ge564095,Bergamo (Itálie : provincie)
ge564096,Kent (Anglie : hrabství)
ge564097,Greenway Berounka - Střela (Česko : cyklistická trasa)
ge564100,"Sedláčkova ulice (Přeštice, Česko)"
ge564107,"Papírenský park (Plzeň, Česko)"
ge564109,"Luftova zahrada (Plzeň, Česko)"
ge564110,Janowiec Wielkopolski (Polsko)
ge564117,Bregenzský les (Rakousko : pohoří)
ge564123,Westallgäu (Německo)
ge564134,Hausruck ( Rakousko)
ge564136,Kobernausserwald (Rakousko)
ge564141,Waldnaabtal (Německo : přírodní rezervace)
ge564171,Rofan (Rakousko : pohoří)
ge564179,Tyrolské Alpy (Rakousko : pohoří)
ge564181,Alpbach (Rakousko)
ge564187,Alpbach (Rakousko : oblast)
ge564192,Wildschönau (Rakousko)
ge564193,Wildschönau (Rakousko : oblast)
ge564250,Jasná Poljana (Rusko)
ge564251,"Kamennoostrovský prospekt (Petrohrad, Rusko)"
ge564282,Bouches-du-Rhône (Francie : departement)
ge564283,Banyuls-sur-Mer (Francie)
ge564284,"Bromma (Stockholm, Švédsko)"
ge564285,Gembloux (Belgie)
ge564286,Bissy-sur-Fley (Francie)
xx0113645,Horní Rychnov (Česko : zaniklá obec)
ge564468,"Challuabamba (Cuenca, Ekvádor)"
ge564477,Bačko Petrovo Selo (Srbsko)
ge564480,Bačko Petrovo Selo (Srbsko : oblast)
ge564481,Čik (Srbsko : řeka : dolní tok)
ge564482,Čik (Srbsko : řeka)
ge564483,Čik (Srbsko : archeologická lokalita)
ge564542,Horhany (Ukrajina : pohoří)
ge564543,Krásná Polonina (Ukrajina : pohoří)
ge564544,Svidovec (Ukrajina : pohoří)
ge564552,Janów (Polsko)
ge564599,Zbraslavice (Česko)
ge564757,"Strážkovice (Malé Svatoňovice, Česko)"
ge564769,Tursko (Česko)
ge564770,"Čakovice (Štětí, Česko)"
ge564771,"Šipín (Konstantinovy Lázně, Česko)"
ge564772,Vlkov pod Oškobrhem (Česko)
ge564773,Podluhy (Česko)
ge564774,"Žerůtky (Znojmo, Česko)"
ge564775,"Butov (Stříbro, Česko)"
ge564777,"Velešice (Hoštka, Litoměřice, Česko)"
ge564778,"Panská Ves (Dubá, Česko)"
ge564779,"Hněvice (Štětí, Česko)"
ge564780,"Milevo (Kladruby, Tachov, Česko)"
ge564781,Kupařovice (Česko)
ge564782,"Bílý Kostelec (Úštěk, Česko)"
ge564783,"Hodětice (Křečovice, Benešov, Česko)"
ge564784,"Vrbice u Stříbra (Kladruby, Tachov, Česko)"
ge564790,"Brod u Stříbra (Kladruby, Tachov, Česko)"
ge564791,"Hudeč (Podmoklany, Česko)"
ge564792,Strachujov (Česko)
ge564794,Sejřek (Česko)
ge564795,Osečany (Česko)
ge564797,"Zdětín (Mladá Boleslav, Česko)"
ge564799,"Krchleby (Křečovice, Benešov, Česko)"
ge564802,"Lahovice (Libčeves, Česko)"
ge564804,Otmíče (Česko)
ge564805,"Tehov (Praha-východ, Česko)"
ge564806,"Strážovice (Křečovice, Benešov, Česko)"
ge564808,"Zhorný (Křečovice, Benešov, Česko)"
ge564809,"Jablonec (Libčeves, Česko)"
ge564811,"Nahoruby (Křečovice, Benešov, Česko)"
ge564812,"Vlkonice (Křečovice, Benešov, Česko)"
xx0113819,Strumień (Polsko)
ge564941,Río de la Plata (Argentina a Uruguay)
ge565009,Národní přírodní rezervace Vrapač (Česko)
ge565010,"Újezdec (Mochtín, Česko)"
ge565011,"Hustířany (Velichovky, Česko)"
ge565012,"Štít (Klamoš, Česko)"
ge565013,"Stupná (Vidochov, Česko)"
ge565014,"Podlevín (Nová Paka, Česko)"
ge565015,"Studenec (Trutnov, Česko)"
ge565016,"Šimkovy sady (Hradec Králové, Česko)"
ge565017,"Pomezní Boudy (Horní Malá Úpa, Malá Úpa, Česko)"
ge565125,Vilnius (Litva : oblast)
ge565128,Vologda (Rusko : oblast)
ge565176,"Jedlová (Svitavy, Česko : oblast)"
ge565184,"Vracov (Hodonín, Česko : oblast)"
ge565185,Frascati (Itálie)
ge565186,Ždírec nad Doubravou (Česko : oblast)
ge565325,kanál svatého Vavřince (Kanada a Spojené státy americké)
ge565408,Karèličy (Bělorusko)
ge565409,Karèličy (Bělorusko : oblast)
ge565411,Kargopol‘ (Rusko)
ge565416,Karlovac (Chorvatsko : oblast)
ge565418,Karlovo (Bulharsko)
ge565426,Voroněž (Rusko : oblast)
ge565429,"Horní Malá Úpa (Malá Úpa, Česko)"
ge565546,Sant'Anastasia (Itálie)
ge565555,Basilej (Švýcarsko : oblast)
xx0114057,San Marino (San Marino)
xx0114059,"Vrchná hora (Malé Karpaty, Slovensko)"
xx0114061,Chráněná krajinná oblast Záhorie (Slovensko)
xx0114062,Národní park Slovenský kras (Slovensko)
xx0114063,Aggtelekský národní park (Maďarsko)
ge565636,Lomma (Švédsko)
ge565639,Middelfart (Dánsko)
ge565640,Kolding (Dánsko)
ge565677,Stupava (Slovensko : oblast)
ge565739,Madonna dell'Arco (Itálie)
ge565740,Czeladź (Polsko)
ge565741,Newton (Massachusetts)
ge565746,Velikij Ustjug (Rusko)
ge565747,Verchnij Tagil (Rusko)
ge565748,Nev‘jansk (Rusko)
ge565751,Vetka (Bělorusko)
ge565752,Vetka (Bělorusko : oblast)
ge565759,Vilenica (Slovinsko : jeskyně)
ge565773,Ancona (Itálie : provincie)
ge565792,Ancona (Itálie)
ge565817,Chyšky (Česko : oblast)
ge565851,Capua (Itálie)
ge565868,Marktoberdorf (Německo)
ge565873,Sluhy (Česko)
ge565877,Brázdim (Česko)
ge565886,Austerlitz (Nizozemsko)
ge565956,Bechlín (Česko)
ge566062,"Šerlich (Orlické hory, Česko a Polsko : hora)"
ge566063,"Bílsko (Údrnice, Česko)"
ge566064,Křinice (Česko : oblast)
ge566065,Správčický písník (Česko)
ge566066,Křinice (Česko : naučná stezka)
ge566085,Džamšédpur (Indie)
ge566159,"Komošín (Dolany, Klatovy, Česko)"
ge566172,"Bohušov (Blovice, Česko)"
ge566173,"Čečkovice (Bor, Tachov, Česko)"
ge566177,"Budeč (Úněšov, Česko)"
ge566182,Zakšov (Česko : zaniklá obec)
ge566187,Dupnica (Bulharsko)
ge566188,Dupnica (Bulharsko : oblast)
ge566198,"Koterovská náves ( Plzeň, Česko)"
xx0114245,"Vysoký Les (Sebranice, Svitavy, Česko)"
ge566226,"Mariánské Údolí (Hlubočky, Česko)"
ge566390,Zátoka sviní (Kuba)
xx0114319,"1. náměstí (Most, Česko)"
xx0114365,"Zamachy (Velké Všelisy, Česko)"
ge566599,Saint-Amand-les-Eaux (Francie)
ge566609,Velké Všelisy (Česko)
ge566614,Beloslav (Bulharsko)
ge566616,Beloslav (Bulharsko : oblast)
ge566671,Visoko (Bosna a Hercegovina)
ge566672,Visoko (Bosna a Hercegovina : oblast)
ge566677,Višegrad (Bosna a Hercegovina)
ge566678,Višegrad (Bosna a Hercegovina : oblast)
ge566679,Dežanovec (Chorvatsko)
ge566703,Stara Kamienica (Polsko)
ge566706,Tröglitz (Německo)
ge566713,Mysłakowice (Polsko)
ge566796,Votkinsk (Rusko)
ge566809,Vrba (Slovinsko)
ge566837,Daruvar (Chorvatsko : oblast)
ge566845,Zaslaŭje (Bělorusko)
ge566874,Temže (Anglie : řeka : oblast)
ge566902,"Kruszyn (Bolesławiec, Polsko)"
