place,QID
Německém Brodě,Q954596
Nivnici,Q1994183
Nové Bystřici,Q1935413
Novém Kníně,Q968615
Oděse,Q1874
Plasech,Q1008589
Salzburgu,Q34713
Teplicích v Čechách,Q146342
Uhříněvsi,Q840751
Úvalech u Prahy,Q330653
Vejprtech,Q1751518
Velkých Losinách,Q780911
Zákupech,Q246837
Zlonicích,Q207261
Železné Rudě,Q327749
Železnici,Q393519
Bostonu,Q100
Dolních Beřkovicích,Q1236056
Dřevohosticích,Q914831
Fulneku,Q740915
Hlinsku v Čechách,Q1433206
Horní Cerekvi,Q740292
Hostinném,Q1000467
Hradci nad Moravicí,Q668190
Hrochově Týnci,Q2064097
Chustu,Q146469
Jablonném v Podještědí,Q158247
Jílovém u Prahy,Q1019335
Kamenickém Šenově,Q1722954
Krucemburku,Q1790091
Mšeně u Mělníka,Q1010667
Mýtě u Rokycan,Q1475736
Nové Vsi pod Pleší,Q2321753
Novém Hrozenkově,Q536625
Pecce,Q1767147
Potštejně,Q18126
Protivanově,Q2556776
Rtyni v Podkrkonoší,Q2092235
Sezimově Ústí,Q958157
Solnici,Q742932
Velké Bystřici,Q1022962
Velkém Týnci u Olomouce,Q1782177
Bojkovicích,Q891190
Brandýse nad Orlicí,Q898464
Buenos Aires,Q1486
Dašicích u Pardubic,Q1027639
Dobrovici u Mladé Boleslavi,Q1028040
Düsseldorfu,Q1718
Frýdlantě nad Ostravicí,Q1010131
Hannoveru,Q1715
Holíči,Q653326
Chýnově,Q1018863
Jistebnici,Q2702822
Kežmarku,Q327977
Kunžaku,Q1648013
Lomnici nad Lužnicí,Q1818179
Milenově u Hranic na Moravě,Q1934645
Morkovicích,Q12038702
Myjavě,Q837460
Podivíně,Q1023848
Popradu,Q26393
Přílepích u Holešova,Q693544
Rize,Q1773
Salcburku,Q34713
Senici,Q766335
Senohrabech,Q2659930
Tisovci,Q2264424
Tokiu,Q7473516
Toužimi,Q1013898
Žďáře nad Sázavou,Q394453
Bukurešti,Q19660
Buštěhradě,Q158423
Černošicích u Prahy,Q339112
